Word	function	pronoun	ppron	i	we	you	shehe	they	ipron	article	prep	auxverb	adverb	conj	negate	verb	adj	compare	interrog	number	quant	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	percept	see	hear	feel	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk	focuspast	focuspresent	focusfuture	relativ	motion	space	time	work	leisure	home	money	relig	death	informal	swear	netspeak	assent	nonflu	filler	
ive	X	X	X	X								X				X																																								X																	
been	X											X				X																																							X																		
out	X										X																																															X		X													
of	X										X																																																														
work																																																	X		X					X						X											
for	X										X																																																														
a	X									X																																																															
while	X													X																																												X			X												
and	X													X																																																											
i	X	X	X	X																																																																					
finally	X												X																																													X			X												
got																X																																	X				X		X																		
an	X									X																																																															
interview																												X																																		X											
here	X												X																																																												
today																																																								X		X			X												
was	X											X				X																																							X																		
driving																																																										X	X														
all																					X												X					X																																			
nervous																	X					X		X	X																																																
cat																																																																									
ran																X																																							X			X	X														
in	X										X																																															X		X													
front																																																										X		X													
me	X	X	X	X																																																																					
love																						X	X					X																X					X	X																							
cats																																																																									
didnt	X											X			X	X																	X						X																X																		
want																X																	X			X																				X																	
to	X										X																																																														
hit																X																																																									
it	X	X							X																																																																
so	X												X	X																																																											
swerved																X																																							X			X	X														
my	X	X	X	X																																																																					
coffee																																												X				X															X										
fell																X																																							X			X	X														
its	X	X							X																																																																
holder																																																																									
onto	X										X																																															X		X													
seat																																																																									
drenched																																																																									
resumes																																																														X											
fortunately	X												X									X	X																																																		
missed																X						X		X			X																												X																		
the	X									X																																																															
but	X													X																			X						X																																		
killed																						X		X		X																																									X						
oh																																																																				X				X	
thats	X	X							X			X				X																																								X																	
terrible																	X					X		X																																																	
what	X	X							X										X																																																						
can	X											X																																												X																	
do	X											X				X																																								X																	
help																												X																					X	X		X																					
have	X											X				X																																								X																	
resume																																																														X											
on	X										X																																															X		X													
this	X	X							X																																																																
usb																																																																									
key																																																																									
could	X											X				X																	X			X																																					
you	X	X	X			X																						X																																													
print																																																																									
just	X												X																																																												
one																				X																																																					
copy																																																																									
please																						X	X																																																		
whats	X	X							X			X				X																																								X																	
your	X	X	X			X																						X																																													
name																												X																																													
tell																X												X																												X																	
ms																												X			X																		X			X																					
jones																																																																									
youre	X	X	X			X						X				X												X																												X																	
paul																																																																									
williams																																																																									
11																				X																																																					
oclock																																																										X			X												
appointment																																																																									
with	X										X																																																														
xyz																																																																									
sweetie																						X	X					X		X																			X	X																							
are	X											X				X																																								X																	
having	X											X				X																																																									
bad																						X		X																									X					X																			
day																																																										X			X												
is	X											X				X																																								X																	
abc																																																																									
next																	X																																									X			X												
door																																																										X		X				X									
im	X	X	X	X								X				X																																								X																	
embarrassed																						X		X	X			X																																													
youve	X	X	X			X						X				X												X																											X																		
helpful																	X					X	X					X																					X	X																							
lifesaver																																																																									
need																X																	X			X																				X																	
run																X																																								X		X	X														
wont	X											X			X	X																																									X																
be	X											X				X																																								X																	
late																	X																																									X			X												
thank																X						X	X																																	X																	
bob																																																																									
billings																																																																	X								
secure																						X	X																										X					X																			
communications																												X																					X	X																							
group																					X							X																					X	X																							
at	X										X																																															X		X													
home																																																																X									
right																																																										X		X													
now	X												X																																											X		X			X												
cant	X														X																		X						X																	X																	
drive																																																										X	X														
because	X													X																			X		X																																						
storm																																																																									
problem																						X		X									X			X													X					X																			
that	X	X							X																																																																
access																																																	X				X																				
workstation																																																																									
server																																																																									
from	X										X																																																														
left																X																																							X			X		X													
id	X	X	X	X								X				X																																																									
desk																																																														X											
go																X																																								X		X	X														
fetch																																																																									
or	X													X																			X				X		X																																		
somebody	X	X							X																			X					X				X																																				
then	X													X																																											X	X			X												
read																X																																														X											
off	X										X																																															X		X													
code																																																																									
when	X												X	X					X																																							X			X												
get																X																																	X				X			X																	
team																												X																					X	X	X											X	X										
has	X											X				X																																								X																	
critical																						X		X		X																																															
deadline																																																														X											
theres	X											X	X			X																																								X																	
no	X														X																																																										
way																																																										X		X													
done	X											X				X																																							X																		
officethe																																																																									
roads																																																										X		X													
much																					X																																																				
too	X												X																																																												
dangerous																	X					X		X																									X					X																			
up	X										X																																						X			X						X		X													
leave																X																																								X		X	X														
computer																																																														X											
center																																																										X		X													
yourself	X	X	X			X																						X																																													
we	X	X	X		X																							X																					X	X																							
keep																X																																								X																	
operators																																												X		X																X											
case																																																																									
emergency																																																																									
listen																X												X												X		X														X																	
big																	X																																X			X						X		X													
favor																						X	X																																																		
dial																																																																									
into	X										X																																															X		X													
network																																																																									
let	X											X				X																																																									
borrow																																																																	X								
until	X										X			X																																												X			X												
safe																	X					X	X																										X					X																			
who	X	X							X										X									X																																													
again	X												X																																													X			X												
ed																																																																									
trenton																																																																									
yeah																																																																				X			X		
know																X																	X	X																						X																	
him	X	X	X				X																					X				X																																									
second																				X																																																					
floor																																																										X		X													
roy																																																																									
tucker																																																																									
itd	X	X							X			X				X																																																									
easier																	X	X				X	X																																																		
ill																																												X		X																											
ask																X												X																												X																	
boss																																																	X			X										X											
hang																X																																								X		X	X														
he	X	X	X				X																					X				X																																									
works																X																																	X		X					X						X											
use																X																	X		X																					X																	
manager																																																	X			X										X											
wants																X																	X			X																				X	X																
talk																												X																												X																	
himself	X	X	X				X																					X				X																																									
gave																X												X																											X																		
mans																																																																									
cell																																																																									
phone																												X												X		X																															
number																																																																									
if	X													X																			X			X	X		X																																		
someone	X	X							X																			X					X				X																																				
