Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	function	pronoun	ppron	i	we	you	shehe	they	ipron	article	prep	auxverb	adverb	conj	negate	verb	adj	compare	interrog	number	quant	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	percept	see	hear	feel	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk	focuspast	focuspresent	focusfuture	relativ	motion	space	time	work	leisure	home	money	relig	death	informal	swear	netspeak	assent	nonflu	filler	AllPunc	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP
01.txt	1	338	13.96	95.95	18.77	70.33	15.36	16.27	83.73	53.55	20.12	15.98	4.14	5.03	6.51	0.00	0.30	4.14	3.55	7.40	12.72	4.14	5.62	4.44	18.34	2.66	0.59	0.30	0.30	1.78	6.80	4.44	2.07	0.30	0.00	0.89	20.12	0.00	0.59	1.48	0.00	13.91	1.48	2.07	1.78	1.48	1.48	5.62	1.18	0.30	0.59	0.00	0.30	0.00	0.00	0.00	0.30	12.43	5.33	2.07	2.66	1.48	0.89	2.37	13.61	1.78	6.21	0.59	2.66	2.96	3.55	0.00	0.00	0.30	0.00	0.00	3.25	0.00	0.00	0.89	2.37	0.00	24.56	7.10	11.83	0.00	0.30	1.48	0.30	0.00	0.00	2.96	0.59	0.00
02.txt	1	46	16.15	74.30	9.25	99.00	9.20	4.35	60.87	39.13	21.74	13.04	8.70	0.00	4.35	0.00	0.00	8.70	4.35	0.00	10.87	4.35	2.17	0.00	17.39	0.00	0.00	4.35	4.35	0.00	6.52	6.52	0.00	0.00	0.00	0.00	10.87	0.00	0.00	0.00	0.00	2.17	0.00	0.00	2.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.52	4.35	0.00	0.00	2.17	0.00	2.17	13.04	2.17	6.52	0.00	4.35	4.35	2.17	0.00	0.00	0.00	0.00	0.00	4.35	0.00	0.00	4.35	0.00	0.00	26.09	4.35	8.70	0.00	2.17	4.35	2.17	0.00	0.00	4.35	0.00	0.00
03.txt	1	385	41.68	98.66	11.41	96.51	7.86	15.06	78.96	46.23	18.70	14.55	3.64	3.64	5.97	0.26	1.04	4.16	4.42	8.83	11.69	2.86	3.64	0.26	16.10	1.82	0.00	3.38	3.38	2.60	5.19	4.94	0.00	0.00	0.00	0.00	17.40	0.00	0.52	0.00	0.52	9.61	1.56	3.38	1.82	2.34	1.04	0.78	0.52	0.26	0.26	0.00	0.00	0.00	0.00	0.00	0.00	7.79	5.45	0.78	0.78	1.04	0.26	3.12	12.47	0.26	9.87	0.26	4.42	5.19	6.75	0.52	0.00	4.94	0.00	0.00	2.86	0.00	0.26	2.08	0.78	0.00	24.42	7.53	6.75	0.00	0.00	5.97	0.26	0.52	0.00	2.08	0.00	1.30
04.txt	1	277	35.92	88.31	40.08	66.75	7.10	11.91	74.73	50.18	18.41	13.00	4.69	1.44	6.14	0.00	0.72	5.42	5.78	9.75	13.00	3.97	4.69	1.44	17.69	0.72	1.08	4.33	3.97	0.36	2.17	2.17	0.00	0.00	0.00	0.00	13.00	0.00	0.00	0.00	0.00	9.03	2.89	1.44	0.72	2.89	0.72	2.53	1.08	0.36	0.36	0.36	0.00	0.00	0.00	0.00	0.00	4.33	2.53	0.72	0.72	0.72	0.00	2.17	13.72	1.08	10.11	1.08	6.86	2.53	3.25	0.00	0.00	3.97	0.00	0.00	1.08	0.00	0.36	0.00	0.72	0.00	27.44	10.11	5.42	0.00	0.00	5.05	0.00	0.00	0.00	6.14	0.72	0.00
05.txt	1	106	47.86	95.50	25.14	61.55	8.15	10.38	75.47	50.00	19.81	15.09	2.83	2.83	7.55	0.00	1.89	4.72	2.83	13.21	10.38	1.89	2.83	2.83	21.70	0.94	0.94	0.94	0.00	0.94	3.77	2.83	0.94	0.00	0.00	0.00	16.04	0.00	0.00	0.00	0.00	13.21	0.94	1.89	3.77	4.72	0.94	3.77	1.89	0.00	1.89	0.00	0.00	0.00	0.00	0.00	0.00	11.32	3.77	0.00	6.60	0.00	0.94	0.94	19.81	1.89	13.21	6.60	6.60	0.00	3.77	3.77	0.00	0.00	0.00	0.00	1.89	0.00	0.00	0.94	0.94	0.00	26.42	9.43	5.66	0.00	0.00	4.72	0.00	0.94	1.89	3.77	0.00	0.00
06.txt	1	74	70.25	70.57	15.32	9.26	9.25	10.81	77.03	43.24	13.51	9.46	5.41	0.00	1.35	1.35	1.35	4.05	5.41	10.81	8.11	6.76	1.35	0.00	17.57	1.35	0.00	2.70	4.05	4.05	1.35	0.00	1.35	0.00	0.00	1.35	10.81	0.00	0.00	0.00	1.35	13.51	1.35	2.70	2.70	4.05	1.35	1.35	4.05	0.00	1.35	2.70	0.00	0.00	0.00	0.00	0.00	13.51	4.05	4.05	5.41	2.70	0.00	4.05	10.81	0.00	10.81	0.00	9.46	1.35	1.35	0.00	1.35	1.35	0.00	0.00	1.35	0.00	0.00	0.00	0.00	0.00	17.57	8.11	4.05	0.00	0.00	2.70	0.00	1.35	0.00	1.35	0.00	0.00
07.txt	1	83	44.49	99.00	46.55	48.10	13.83	15.66	87.95	54.22	19.28	16.87	1.20	3.61	8.43	3.61	0.00	2.41	6.02	10.84	8.43	2.41	8.43	1.20	12.05	3.61	0.00	1.20	2.41	0.00	1.20	1.20	0.00	0.00	0.00	0.00	24.10	0.00	1.20	0.00	4.82	9.64	1.20	4.82	2.41	1.20	0.00	3.61	2.41	0.00	2.41	0.00	0.00	0.00	0.00	0.00	0.00	12.05	7.23	0.00	4.82	0.00	1.20	0.00	14.46	1.20	20.48	7.23	7.23	6.02	4.82	1.20	1.20	0.00	0.00	0.00	1.20	0.00	0.00	0.00	0.00	0.00	19.28	6.02	9.64	0.00	0.00	1.20	0.00	0.00	1.20	1.20	0.00	0.00
08.txt	1	199	59.49	63.76	9.31	54.14	7.37	16.58	78.39	47.24	18.09	10.55	6.53	0.00	2.51	1.51	0.00	7.54	9.55	9.05	11.56	1.51	3.52	1.51	18.09	2.01	0.50	3.52	1.51	2.01	3.52	2.51	1.01	0.00	0.50	0.00	9.55	0.00	0.00	2.01	0.50	6.53	1.01	1.51	1.51	1.51	0.50	0.50	1.51	0.50	1.01	0.00	0.00	0.00	0.00	0.00	0.00	5.53	0.50	0.50	3.02	2.01	0.00	3.02	16.08	0.00	8.04	1.51	5.03	1.51	6.03	0.00	1.01	3.52	0.00	0.00	3.52	0.00	0.50	2.01	1.01	0.50	28.64	7.54	5.03	0.00	0.50	5.53	0.00	0.50	2.01	7.54	0.00	0.00
09.txt	1	334	49.12	97.20	1.00	84.06	10.77	10.78	81.74	50.90	17.66	14.07	3.29	1.50	3.59	4.79	0.90	3.59	5.39	11.38	9.58	3.89	5.39	1.50	17.37	1.50	0.30	2.69	1.80	1.80	5.09	4.19	0.90	0.00	0.00	0.60	19.76	0.30	0.90	0.00	6.29	7.19	0.30	1.20	3.29	1.80	1.20	0.90	2.99	0.90	1.50	0.60	0.30	0.30	0.00	0.00	0.00	7.49	3.29	0.30	2.99	1.80	0.60	2.69	11.98	2.69	9.88	1.80	5.39	2.99	2.69	0.30	1.50	3.89	0.00	0.00	2.40	0.00	0.00	1.50	0.30	0.30	19.46	6.89	6.29	0.00	0.00	2.99	0.00	0.00	0.00	3.29	0.00	0.00
10.txt	1	315	48.18	87.99	35.25	61.90	6.56	6.98	85.08	50.48	20.95	14.29	6.03	0.63	1.90	5.40	0.32	6.67	7.30	10.79	9.21	4.76	3.81	0.95	18.73	2.54	0.95	3.17	2.22	1.59	3.17	2.54	0.63	0.32	0.32	0.00	17.46	0.00	1.27	0.00	6.67	6.67	1.59	1.27	0.32	1.90	0.63	0.95	3.49	0.32	3.17	0.00	0.00	0.00	0.00	0.00	0.00	6.35	1.27	1.27	2.22	1.59	0.00	5.40	13.65	1.90	15.87	2.54	7.94	6.35	3.17	0.00	0.00	3.49	0.00	0.00	1.27	0.32	0.00	0.95	0.00	0.00	25.40	11.75	3.81	0.00	0.32	3.49	0.00	0.32	0.00	5.71	0.00	0.00
